region,id
Frontera venezolana,20443
Frontera venezolana,20013
Frontera venezolana,20178
Frontera venezolana,20621
Frontera venezolana,20400
Frontera venezolana,81736
Frontera venezolana,81001
Frontera venezolana,81065
Frontera venezolana,81220
Frontera venezolana,81300
Frontera venezolana,81591
Frontera venezolana,81794
Frontera venezolana,99773
Frontera venezolana,99524
Frontera venezolana,99001
Frontera venezolana,15223
Frontera venezolana,44847
Frontera venezolana,44430
Frontera venezolana,44035
Frontera venezolana,44378
Frontera venezolana,44078
Frontera venezolana,44279
Frontera venezolana,44110
Frontera venezolana,44874
Frontera venezolana,44855
Frontera venezolana,44420
Frontera venezolana,54245
Frontera venezolana,54206
Frontera venezolana,54800
Frontera venezolana,54810
Frontera venezolana,54553
Frontera venezolana,54001
Frontera venezolana,54599
Frontera venezolana,54874
Frontera venezolana,54347
Frontera venezolana,54820
Zona Cafetera,17013
Zona Cafetera,17042
Zona Cafetera,17050
Zona Cafetera,17088
Zona Cafetera,17174
Zona Cafetera,17272
Zona Cafetera,17380
Zona Cafetera,17388
Zona Cafetera,17867
Zona Cafetera,17001
Zona Cafetera,17433
Zona Cafetera,17442
Zona Cafetera,17444
Zona Cafetera,17446
Zona Cafetera,17486
Zona Cafetera,17495
Zona Cafetera,17524
Zona Cafetera,17541
Zona Cafetera,17513
Zona Cafetera,17616
Zona Cafetera,17614
Zona Cafetera,17653
Zona Cafetera,17662
Zona Cafetera,17665
Zona Cafetera,17777
Zona Cafetera,17873
Zona Cafetera,17877
Zona Cafetera,63001
Zona Cafetera,63111
Zona Cafetera,63130
Zona Cafetera,63190
Zona Cafetera,63212
Zona Cafetera,63272
Zona Cafetera,63302
Zona Cafetera,63401
Zona Cafetera,63470
Zona Cafetera,63548
Zona Cafetera,63594
Zona Cafetera,63690
Zona Cafetera,66045
Zona Cafetera,66075
Zona Cafetera,66088
Zona Cafetera,66170
Zona Cafetera,66318
Zona Cafetera,66383
Zona Cafetera,66400
Zona Cafetera,66440
Zona Cafetera,66456
Zona Cafetera,66001
Zona Cafetera,66572
Zona Cafetera,66594
Zona Cafetera,66682
Zona Cafetera,66687
Amazonas,91001
Amazonas,91540
Antioquia,05002
Antioquia,05004
Antioquia,05021
Antioquia,05030
Antioquia,05031
Antioquia,05034
Antioquia,05036
Antioquia,05038
Antioquia,05040
Antioquia,05044
Antioquia,05045
Antioquia,05051
Antioquia,05055
Antioquia,05059
Antioquia,05079
Antioquia,05088
Antioquia,05086
Antioquia,05091
Antioquia,05093
Antioquia,05101
Antioquia,05107
Antioquia,05113
Antioquia,05125
Antioquia,05129
Antioquia,05134
Antioquia,05142
Antioquia,05145
Antioquia,05147
Antioquia,05148
Antioquia,05150
Antioquia,05154
Antioquia,05138
Antioquia,05172
Antioquia,05190
Antioquia,05197
Antioquia,05206
Antioquia,05209
Antioquia,05212
Antioquia,05120
Antioquia,05234
Antioquia,05237
Antioquia,05240
Antioquia,05250
Antioquia,05264
Antioquia,05266
Antioquia,05282
Antioquia,05284
Antioquia,05306
Antioquia,05308
Antioquia,05313
Antioquia,05315
Antioquia,05318
Antioquia,05321
Antioquia,05310
Antioquia,05347
Antioquia,05353
Antioquia,05360
Antioquia,05361
Antioquia,05364
Antioquia,05368
Antioquia,05376
Antioquia,05380
Antioquia,05390
Antioquia,05400
Antioquia,05411
Antioquia,05425
Antioquia,05440
Antioquia,05001
Antioquia,05467
Antioquia,05475
Antioquia,05480
Antioquia,05483
Antioquia,05495
Antioquia,05490
Antioquia,05501
Antioquia,05543
Antioquia,05541
Antioquia,05576
Antioquia,05579
Antioquia,05585
Antioquia,05591
Antioquia,05604
Antioquia,05607
Antioquia,05615
Antioquia,05628
Antioquia,05631
Antioquia,05642
Antioquia,05647
Antioquia,05649
Antioquia,05652
Antioquia,05656
Antioquia,05658
Antioquia,05659
Antioquia,05660
Antioquia,05664
Antioquia,05665
Antioquia,05667
Antioquia,05670
Antioquia,05674
Antioquia,05679
Antioquia,05042
Antioquia,05686
Antioquia,05690
Antioquia,05697
Antioquia,05736
Antioquia,05756
Antioquia,05761
Antioquia,05790
Antioquia,05792
Antioquia,05809
Antioquia,05819
Antioquia,05837
Antioquia,05789
Antioquia,05842
Antioquia,05847
Antioquia,05854
Antioquia,05856
Antioquia,05858
Antioquia,05861
Antioquia,05873
Antioquia,05885
Antioquia,05887
Antioquia,05890
Antioquia,05893
Antioquia,05895
Arauca,81001
Arauca,81065
Arauca,81220
Arauca,81300
Arauca,81591
Arauca,81736
Arauca,81794
Atlántico,08001
Atlántico,08078
Atlántico,08137
Atlántico,08141
Atlántico,08296
Atlántico,08372
Atlántico,08421
Atlántico,08433
Atlántico,08436
Atlántico,08520
Atlántico,08549
Atlántico,08558
Atlántico,08560
Atlántico,08573
Atlántico,08606
Atlántico,08634
Atlántico,08638
Atlántico,08675
Atlántico,08685
Atlántico,08758
Atlántico,08770
Atlántico,08832
Atlántico,08849
Bogotá D.C.,11001
Bolívar,13006
Bolívar,13030
Bolívar,13042
Bolívar,13052
Bolívar,13062
Bolívar,13074
Bolívar,13140
Bolívar,13160
Bolívar,13001
Bolívar,13188
Bolívar,13222
Bolívar,13212
Bolívar,13244
Bolívar,13248
Bolívar,13268
Bolívar,13300
Bolívar,13430
Bolívar,13433
Bolívar,13440
Bolívar,13442
Bolívar,13468
Bolívar,13458
Bolívar,13473
Bolívar,13490
Bolívar,13549
Bolívar,13580
Bolívar,13600
Bolívar,13620
Bolívar,13647
Bolívar,13650
Bolívar,13654
Bolívar,13655
Bolívar,13657
Bolívar,13667
Bolívar,13670
Bolívar,13673
Bolívar,13683
Bolívar,13688
Bolívar,13744
Bolívar,13760
Bolívar,13780
Bolívar,13810
Bolívar,13836
Bolívar,13838
Bolívar,13873
Bolívar,13894
Boyacá,15001
Boyacá,15022
Boyacá,15047
Boyacá,15051
Boyacá,15087
Boyacá,15090
Boyacá,15092
Boyacá,15097
Boyacá,15104
Boyacá,15106
Boyacá,15109
Boyacá,15114
Boyacá,15131
Boyacá,15135
Boyacá,15162
Boyacá,15172
Boyacá,15176
Boyacá,15180
Boyacá,15183
Boyacá,15185
Boyacá,15187
Boyacá,15189
Boyacá,15204
Boyacá,15212
Boyacá,15215
Boyacá,15218
Boyacá,15223
Boyacá,15224
Boyacá,15226
Boyacá,15232
Boyacá,15236
Boyacá,15238
Boyacá,15244
Boyacá,15248
Boyacá,15272
Boyacá,15276
Boyacá,15293
Boyacá,15296
Boyacá,15299
Boyacá,15317
Boyacá,15322
Boyacá,15325
Boyacá,15332
Boyacá,15362
Boyacá,15367
Boyacá,15368
Boyacá,15377
Boyacá,15380
Boyacá,15401
Boyacá,15403
Boyacá,15407
Boyacá,15425
Boyacá,15442
Boyacá,15455
Boyacá,15464
Boyacá,15466
Boyacá,15469
Boyacá,15476
Boyacá,15480
Boyacá,15491
Boyacá,15494
Boyacá,15500
Boyacá,15507
Boyacá,15511
Boyacá,15514
Boyacá,15516
Boyacá,15518
Boyacá,15522
Boyacá,15531
Boyacá,15533
Boyacá,15537
Boyacá,15542
Boyacá,15550
Boyacá,15572
Boyacá,15580
Boyacá,15599
Boyacá,15600
Boyacá,15621
Boyacá,15632
Boyacá,15638
Boyacá,15646
Boyacá,15660
Boyacá,15664
Boyacá,15667
Boyacá,15673
Boyacá,15676
Boyacá,15681
Boyacá,15686
Boyacá,15690
Boyacá,15693
Boyacá,15696
Boyacá,15720
Boyacá,15723
Boyacá,15740
Boyacá,15753
Boyacá,15755
Boyacá,15757
Boyacá,15759
Boyacá,15761
Boyacá,15762
Boyacá,15763
Boyacá,15764
Boyacá,15774
Boyacá,15776
Boyacá,15778
Boyacá,15790
Boyacá,15798
Boyacá,15804
Boyacá,15806
Boyacá,15808
Boyacá,15810
Boyacá,15814
Boyacá,15816
Boyacá,15820
Boyacá,15822
Boyacá,15832
Boyacá,15835
Boyacá,15837
Boyacá,15839
Boyacá,15842
Boyacá,15861
Boyacá,15879
Boyacá,15897
Caldas,17013
Caldas,17042
Caldas,17050
Caldas,17088
Caldas,17174
Caldas,17272
Caldas,17380
Caldas,17388
Caldas,17867
Caldas,17001
Caldas,17433
Caldas,17442
Caldas,17444
Caldas,17446
Caldas,17486
Caldas,17495
Caldas,17524
Caldas,17541
Caldas,17513
Caldas,17616
Caldas,17614
Caldas,17653
Caldas,17662
Caldas,17665
Caldas,17777
Caldas,17873
Caldas,17877
Caquetá,18001
Caquetá,18029
Caquetá,18094
Caquetá,18150
Caquetá,18205
Caquetá,18247
Caquetá,18256
Caquetá,18410
Caquetá,18460
Caquetá,18479
Caquetá,18592
Caquetá,18610
Caquetá,18753
Caquetá,18756
Caquetá,18785
Caquetá,18860
Casanare,85010
Casanare,85015
Casanare,85125
Casanare,85136
Casanare,85139
Casanare,85162
Casanare,85225
Casanare,85230
Casanare,85250
Casanare,85263
